"Date & Time","use [kWh]","gen [kWh]","Register 1 [kWh]","Register 2 [kWh]","Register 3 [kWh]","Register 4 [kWh]","Register 5 [kWh]","Register 6 [kWh]","Register 7 [kWh]","Register 8 [kWh]","Register 9 [kWh]","Register 10 [kWh]","Register 11 [kWh]","Register 12 [kWh]","Solar [kWh]"
2018-10-01 13:00:00,12647299.928320000,671921.470146944,1214397.704327778,753142.469046389,1148755.899150278,1732463.596209444,877181.263059444,1432655.666243889,1269261.090251389,675591.467879722,853900.461377222,974396.285041111,977676.467857778,737877.557875556,671921.470146944
2018-09-30 13:00:00,12637150.804440276,671387.038373055,1213405.254809444,752386.765455278,1147778.913817500,1731261.258779444,876483.206743889,1431679.238075278,1268080.265098611,674723.525813056,852947.474620000,973798.715261667,977137.630786945,737468.555179167,671387.038373055
2018-09-29 13:00:00,12626166.055768611,671094.240662222,1212304.585874444,751518.614500278,1146671.329551944,1729941.680597778,875683.782808056,1430593.011433611,1266906.215956111,673817.652745833,852011.064542500,973135.240034444,976546.894020278,737035.983703333,671094.240662222
2018-09-28 13:00:00,12614904.274130277,670803.000169722,1211173.328736111,750595.983379722,1145520.252855278,1728637.916383333,874907.571330833,1429512.776353611,1265647.399477222,672885.361994444,851005.024895555,972477.937846667,975939.790977222,736600.929900278,670803.000169722
2018-09-27 13:00:00,12603839.474845555,670080.777842500,1210325.321358056,750028.121438333,1144705.081231944,1727522.476134167,874345.960478889,1428646.505300000,1263995.768984167,671465.193066389,849510.511477500,971809.656041389,975315.816676944,736169.062657778,670080.777842500
2018-09-26 13:00:00,12594858.649569166,669392.308148055,1209225.809600278,749154.241710556,1143620.924898889,1726419.736967778,873772.330214167,1427783.341076389,1263192.914450556,670978.919836389,848967.501594167,971205.416244166,974759.726947778,735777.786028056,669392.308148055
2018-09-25 13:00:00,12583189.788738333,668692.800502500,1208062.086615278,748198.012202500,1142463.218153333,1725209.819467778,873051.405151667,1426770.958186111,1261739.446345278,669792.030398611,847730.122206944,970591.529118055,974211.717072500,735369.443820278,668692.800502500
2018-09-24 13:00:00,12573854.317396110,668007.871374167,1206799.260539722,747106.414406667,1141176.750245278,1724014.677608889,872365.432041944,1425724.300171389,1261115.199116389,669515.274846944,847320.793658889,970029.936916667,973709.348159722,734976.929683611,668007.871374167
2018-09-23 13:00:00,12566014.946866664,667625.756858055,1205874.620290000,746424.543014444,1140267.028589444,1722905.398661944,871748.946518611,1424773.056651944,1260501.891555278,669235.392225555,846918.322259722,969506.819105278,973244.444805000,734614.483189444,667625.756858055
2018-09-22 13:00:00,12555773.690447778,667267.583033333,1205089.754181667,745937.356131944,1139525.662757222,1721847.848708333,871209.383795555,1423881.808907778,1258954.717988055,668059.425006389,845594.631107222,968869.044645278,972649.559805833,734154.497412500,667267.583033333
