"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2019-03-26 20:30:00,243.678816667,-1.536123333,17.736833333,5.476560000,16.450223333,34.815186667,11.673880000,23.144443333,23.503766667,23.249853333,14.831550000,26.104936667,29.011910000,17.679673333,-1.536123333
2019-03-26 20:25:00,278.228280000,-1.532940000,18.720286667,6.536930000,17.413796667,34.790596667,11.965543333,23.607170000,34.948996667,35.525000000,28.422930000,25.993823333,24.390246667,15.912960000,-1.532940000
2019-03-26 20:20:00,308.625803333,-1.530333333,20.185973333,7.691586667,17.864173333,34.735286667,11.828350000,23.531553333,41.941286667,43.011276667,36.346403333,28.813876667,26.943183333,15.732853333,-1.530333333
2019-03-26 20:15:00,326.831113333,-1.523913333,19.724326667,7.468730000,17.952893333,36.326660000,13.892126667,25.122930000,43.003960000,43.703930000,37.111043333,32.664003333,30.426066667,19.434443333,-1.523913333
2019-03-26 20:10:00,324.361716667,-1.527570000,22.336220000,10.108856667,20.827220000,36.926886667,14.373386667,25.298016667,44.497060000,45.591950000,37.675023333,27.247773333,25.608753333,13.870570000,-1.527570000
2019-03-26 20:05:00,335.355266667,-1.524246667,25.466836667,13.342360000,23.370606667,36.789066667,13.546976667,24.624976667,44.475546667,44.480126667,36.513273333,29.230856667,27.505883333,16.008756667,-1.524246667
2019-03-26 20:00:00,337.910166667,-1.534190000,23.867650000,12.126950000,21.915353333,37.717076667,14.316073333,25.807510000,43.850020000,44.995070000,36.724263333,29.836800000,30.360716667,16.392683333,-1.534190000
2019-03-26 19:55:00,380.070843333,-1.532893333,23.384210000,11.335436667,21.526350000,40.931303333,18.125403333,28.978030000,45.351130000,46.840330000,38.493386667,38.877026667,40.795843333,25.432393333,-1.532893333
2019-03-26 19:50:00,341.240660000,-1.533043333,22.447453333,10.777513333,22.050556667,40.856623333,17.856403333,28.829780000,44.267476667,45.147846667,36.945936667,29.729153333,27.643466667,14.688450000,-1.533043333
2019-03-26 19:45:00,320.087853333,-1.422333333,19.624756667,8.103716667,19.388136667,38.474270000,15.574323333,26.613686667,43.559746667,44.489500000,36.817720000,25.804896667,24.259956667,17.377143333,-1.422333333
2019-03-26 19:40:00,312.845126667,-0.958936667,19.966846667,8.130273333,19.014786667,36.104043333,13.712676667,24.575456667,41.987693333,42.886916667,36.639260000,27.565443333,26.439000000,15.822730000,-0.958936667
2019-03-26 19:35:00,307.397716667,0.489190000,19.230696667,5.457730000,17.422460000,34.406460000,12.813406667,23.728360000,41.411276667,42.307683333,35.467583333,29.688213333,28.071206667,17.392640000,0.489190000
2019-03-26 19:30:00,295.997433333,5.363090000,20.027423333,7.148710000,18.991443333,32.381783333,10.458130000,22.055836667,41.969166667,42.663066667,35.511726667,26.422113333,24.237933333,14.130100000,5.363090000
2019-03-26 19:25:00,305.200523333,8.128683333,19.798036667,6.642646667,18.042863333,32.403070000,10.816023333,22.176400000,43.208413333,43.802646667,36.823063333,28.485513333,26.664696667,16.337150000,8.128683333
2019-03-26 19:20:00,311.204846667,8.475790000,20.148890000,6.589253333,18.869670000,32.782183333,11.230906667,22.535346667,42.272396667,43.027280000,35.785950000,30.419746667,28.974730000,18.568493333,8.475790000
2019-03-26 19:15:00,302.101140000,9.636096667,19.896676667,7.167360000,18.969633333,32.036340000,10.618556667,21.525113333,41.491440000,42.781086667,35.464760000,28.588973333,26.943890000,16.617310000,9.636096667
2019-03-26 19:10:00,314.637086667,21.589196667,23.491803333,11.465293333,22.774316667,33.070493333,12.128386667,22.924266667,42.478576667,43.386263333,36.637300000,25.824493333,26.560620000,13.895273333,21.589196667
2019-03-26 19:05:00,344.718460000,25.030403333,21.757006667,10.100153333,21.856023333,34.797106667,12.994796667,23.938940000,51.134460000,52.757513333,46.346573333,26.487190000,28.359950000,14.188746667,25.030403333
2019-03-26 19:00:00,474.296206667,25.406973333,20.904056667,9.577410000,21.005093333,34.034990000,11.546806667,22.675306667,91.983866667,97.023870000,93.516050000,27.638860000,29.055840000,15.334056667,25.406973333
2019-03-26 18:55:00,471.059026667,34.550233333,22.532686667,10.242320000,21.853106667,33.890493333,11.249710000,22.225873333,88.774866667,93.360203333,89.754976667,29.571743333,27.476683333,20.126363333,34.550233333
2019-03-26 18:50:00,339.143470000,38.595623333,20.394733333,7.801280000,19.227750000,33.565700000,10.693450000,21.972746667,52.556706667,54.831676667,48.930920000,28.605996667,24.780670000,15.781840000,38.595623333
2019-03-26 18:45:00,336.945966667,40.783903333,20.197123333,7.784180000,19.444276667,33.955176667,11.385616667,22.356706667,46.035093333,47.821553333,40.523700000,31.932860000,33.746576667,21.763103333,40.783903333
2019-03-26 18:40:00,339.602913333,40.586416667,20.477716667,8.231456667,19.345186667,36.126506667,13.908556667,24.460126667,46.070680000,47.902316667,40.245803333,30.201316667,32.506880000,20.126366667,40.586416667
2019-03-26 18:35:00,343.577043333,47.885786667,21.408793333,8.776160000,19.559316667,34.900640000,13.236996667,24.103110000,49.360996667,50.475203333,43.876400000,28.800190000,30.722523333,18.356713333,47.885786667
2019-03-26 18:30:00,488.227903333,53.142016667,23.974183333,12.417196667,23.451863333,32.680166667,11.207533333,21.885763333,90.023283333,95.774213333,91.878666667,31.392166667,32.786520000,20.756346667,53.142016667
2019-03-26 18:25:00,487.223626667,56.377843333,22.783563333,10.704790000,22.511293333,33.188020000,11.926593333,22.490970000,96.000163333,101.560213333,98.206720000,25.542713333,26.990826667,15.317760000,56.377843333
2019-03-26 18:20:00,480.888403333,55.014286667,19.570936667,7.780600000,19.174176667,32.415803333,11.356203333,21.860806667,95.255420000,100.046430000,96.616803333,28.237250000,30.462136667,18.111836667,55.014286667
2019-03-26 18:15:00,479.507543333,63.075130000,23.292366667,9.720220000,20.103133333,32.723430000,12.520213333,22.870473333,89.409383333,94.856156667,91.707466667,28.968526667,34.611260000,18.724913333,63.075130000
2019-03-26 18:10:00,468.067683333,66.242240000,23.466213333,9.293403333,19.914633333,32.409233333,12.262686667,22.477563333,88.785773333,94.067950000,90.746990000,26.412570000,32.322273333,15.908393333,66.242240000
2019-03-26 18:05:00,340.736080000,69.579886667,23.058403333,9.578020000,20.021766667,33.118976667,11.936710000,22.195833333,51.439180000,52.812490000,46.523063333,25.290490000,30.005833333,14.755313333,69.579886667
2019-03-26 18:00:00,328.368710000,73.060390000,22.112590000,8.552976667,19.952990000,33.492000000,11.384520000,22.212730000,47.909410000,48.514546667,41.447730000,27.817256667,28.297443333,16.674516667,73.060390000
2019-03-26 17:55:00,335.599326667,76.026463333,22.070946667,9.249946667,21.040783333,32.580060000,10.500110000,21.640780000,48.492680000,49.574143333,42.444286667,29.832776667,27.719963333,20.452850000,76.026463333
2019-03-26 17:50:00,331.750976667,78.531403333,23.935113333,11.893816667,23.591910000,32.767563333,10.746586667,21.559740000,48.541180000,49.369376667,42.857186667,26.031080000,24.538136667,15.919286667,78.531403333
2019-03-26 17:45:00,473.901470000,80.427980000,22.754030000,11.066793333,22.905323333,32.097146667,10.623650000,20.845803333,84.636256667,90.056380000,86.330803333,35.721590000,34.163256667,22.700436667,80.427980000
2019-03-26 17:40:00,445.542766667,82.101123333,20.481276667,7.910556667,19.770216667,31.585016667,10.399546667,20.793383333,84.789500000,90.199316667,86.924116667,30.450213333,26.842616667,15.397006667,82.101123333
2019-03-26 17:35:00,454.114696667,85.175170000,20.570623333,9.448463333,19.905976667,32.964636667,12.234356667,22.195523333,84.209486667,89.873590000,86.249040000,31.024706667,28.127706667,17.310586667,85.175170000
2019-03-26 17:30:00,446.912886667,88.205666667,19.894896667,7.860890000,18.969046667,32.926403333,12.315233333,21.914126667,84.639156667,90.195396667,86.415403333,28.562773333,27.471150000,15.748410000,88.205666667
2019-03-26 17:25:00,417.314896667,89.751336667,20.248163333,7.729343333,19.077096667,33.976603333,13.454513333,22.794743333,74.617606667,78.966646667,74.213430000,27.361506667,29.984456667,14.890786667,89.751336667
2019-03-26 17:20:00,328.701363333,93.613820000,19.981330000,7.313263333,19.171853333,32.172756667,11.019026667,20.534363333,48.047843333,49.339713333,41.828163333,29.677333333,32.589450000,17.026266667,93.613820000
2019-03-26 17:15:00,352.528850000,96.048020000,20.657233333,8.439870000,19.869980000,34.558666667,14.086613333,22.522150000,48.434833333,48.719316667,41.433580000,35.537760000,35.468783333,22.800063333,96.048020000
2019-03-26 17:10:00,331.005163333,93.690333333,23.627546667,11.658216667,23.330786667,34.034670000,13.818756667,21.455240000,47.403993333,48.426160000,41.333140000,26.395960000,25.273236667,14.247456667,93.690333333
2019-03-26 17:05:00,342.047173333,98.527826667,23.550470000,12.296993333,22.830053333,36.860160000,16.183753333,23.585516667,49.862216667,51.135033333,44.132626667,25.003730000,23.594796667,13.011823333,98.527826667
